,molecular mass,mlogp,tpsa,HAccept,HDon,nrotate,carboxylic acid,carboxylate,ester,ether,alcohol,amide,primary amine,secondary amine,4 valenced nitrogen,tertiary amine,keton,cyanide,epoxide,sulfonyl,cyclohexane,piperidine,pyrrolidine,benzene,Methoxybenzene,methylaniline,Phenethylamine,pyridine,pyrrole,fluorine,lat1,lacc,6 atom ring,common atoms in fused 6 atom rings,opioid feature
0,1140.23692,-1.7729,377.54,24,14,14,0,0,0,1,9,7,0,0,0,0,0,0,0,0,0,0,2,4,2,0,0,0,0,0,0,5,4,0,0
0,153.13538,-1.2146,86.71,4,4,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
0,822.94022,-0.0668999999999885,229.3,16,6,6,0,0,1,3,5,1,0,0,0,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,3,2,0
0,225.20464,-3.7363,115.04,8,4,4,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,670.8408,2.43610000000001,178.53,11,6,15,0,0,0,0,1,3,0,0,0,1,0,0,0,0,1,1,0,2,0,1,1,0,0,0,0,3,5,4,0
0,567.7824,4.0741,108.22,7,4,11,0,0,0,0,2,2,0,0,0,1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,1,4,2,0
0,236.22728,-2.4901,89.02,7,2,2,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
0,211.21782,-1.6602,90.98,6,3,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
0,224.21328,-1.3806,85.19,6,2,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,456.56112,0.782700000000004,115.29,9,3,7,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,3,0,0
0,312.40452,0.9489,96.97,6,3,9,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
0,286.33232,-1.782,97.61,7,4,4,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0
0,304.21216,2.8058,43.7,3,1,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,1
0,305.20022,1.3529,69.72,4,3,8,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1
0,646.6409,5.29650000000001,113.62,7,2,13,0,0,1,0,2,0,0,0,0,1,2,0,0,0,2,0,0,1,0,1,0,0,0,0,0,3,4,4,1
0,246.30176,2.3906,99.38,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,214.04986,-0.474700000000001,67.76,5,1,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,427.41064,-2.83359999999999,195.52,11,7,10,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,2,0,0
0,263.1981464,-2.4442,111.21,9,4,2,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
0,810.97412,2.74890000000001,159.82,13,3,10,0,0,3,1,2,0,0,1,0,3,0,0,0,0,1,1,1,2,1,2,2,0,2,0,0,6,5,1,2
0,853.90614,3.1629,240.25,15,4,15,0,0,4,1,3,1,0,0,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,1,5,0,0
0,527.51986,-1.5327,195.32,11,6,4,0,0,0,3,4,0,1,0,0,0,3,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,5,6,0
0,506.69778,2.8429,117.51,7,3,3,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
0,581.0575432,4.42830000000001,107.04,9,2,11,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,3,1,2,0,0,0,1,0,0,4,2,0
0,958.22442,5.76400000000001,220.46,15,3,9,1,0.5,1,5,2,1,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,9,3,0,0
0,437.51802,1.25770000000001,121.08,9,3,5,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0
0,475.3539632,2.2271,57.79,7,1,6,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,2,2,2,0,0,0,1,0,2,4,2,0
0,485.9384032,1.1215,90.05,9,2,10,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,0,2,1,3,0,0,0,1,0,1,3,2,0
0,306.36502,-0.215099999999997,77.38,6,1,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
0,533.5674296,3.2199,66.04,10,2,8,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,4,0,1
0,615.3947932,1.0944,114.7,10,2,6,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,1,0,2,4,2,0
0,440.49706,1.6535,98.05,8,2,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,2,4,0,0
0,499.60732,0.657500000000007,87.3,9,2,11,0,0,0,1,0,1,0,1,0,3,0,0,0,0,0,0,0,2,1,4,2,0,1,0,0,0,3,0,2
0,486.58864,1.457,84.06,8,2,8,0,0,0,1,0,1,0,1,0,2,0,0,0,0,0,0,0,2,1,3,0,0,0,0,0,0,4,0,1
0,584.092422,1.45140000000001,87.3,9,2,8,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,1,0,2,1,3,0,0,0,0,0,2,5,0,1
